,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
164,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",747006,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
165,"Star Shopping","Lil Peep",745073,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
166,"Every Breath You Take","The Police",744293,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
167,"Just the Way You Are","Bruno Mars",740788,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
168,Maniac,"Conan Gray",739604,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
169,"Remember That Night?","Sara Kays",738838,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
170,"Esquema Preferido","DJ Ivis",730179,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
171,"BOOKER T","Bad Bunny",729846,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
172,"How You Like That",BLACKPINK,728375,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
173,"Smells Like Teen Spirit",Nirvana,723688,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
174,"Someone To You",BANNERS,722758,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
175,Sofia,Clairo,722665,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
176,Closer,"The Chainsmokers",721422,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
177,"everything i wanted","Billie Eilish",717682,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
178,Hope,XXXTENTACION,715755,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
179,"Tapão Na Raba","Raí Saia Rodada",714309,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
180,ROXANNE,"Arizona Zervas",711036,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
181,"hot girl bummer",Blackbear,710925,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
182,"Counting Stars",OneRepublic,710234,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
183,"Stressed Out","Twenty One Pilots",709519,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
184,"Without Me",Halsey,707256,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
185,Photograph,"Ed Sheeran",706636,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
